Session Key,Result,Decline Type,Original Transaction Amount,Transaction Amount,Status Code,Response Message,Transaction Time,Transaction Reversal,Date and Time
7C2F010AMJ,failure,business,63112.31,-9302.9,600,,2023-09-28 12:59:03.495432,yes,2023-09-28 12:59:03
87A4TLEHWW,success,,703652.01,-366831.06,0,Transaction Approved,2023-09-29 08:05:03.495485,yes,2023-09-29 08:05:03
T2I5QZ6B6C,failure,technical,471209.07,-384834.23,300,,2023-09-29 04:22:03.495509,yes,2023-09-29 04:22:03
TNEFADHPIV,success,,523170.79,-195957.75,00,Transaction Approved,2023-09-28 21:28:03.495528,yes,2023-09-28 21:28:03
83E51SA53A,failure,business,185459.38,185459.38,600,,2023-09-29 06:25:03.495547,no,2023-09-29 06:25:03
4OH54VDJ4P,success,,266225.87,-52769.03,000,Transaction Approved,2023-09-28 21:28:03.495563,yes,2023-09-28 21:28:03
2UEREDN40C,failure,business,112802.95,-34541.03,400,,2023-09-29 08:19:03.495581,yes,2023-09-29 08:19:03
YB2VLG1TY1,failure,business,598809.15,598809.15,400,,2023-09-29 06:00:03.495598,no,2023-09-29 06:00:03
U4OEBTMVMU,success,,296397.82,-223834.58,000,Transaction Approved,2023-09-28 19:25:03.495613,yes,2023-09-28 19:25:03
GOD9OQ140Q,success,,771024.51,771024.51,0,Transaction Approved,2023-09-29 00:16:03.495630,no,2023-09-29 00:16:03
FK9CRVFGQD,success,,367353.28,367353.28,0,Transaction Approved,2023-09-28 22:03:03.495644,no,2023-09-28 22:03:03
VZYBUW3JDX,success,,218281.82,218281.82,000,Transaction Approved,2023-09-29 06:03:03.495659,no,2023-09-29 06:03:03
E1RQZP3KSP,failure,technical,177729.58,177729.58,200,,2023-09-29 05:23:03.495675,no,2023-09-29 05:23:03
JEXQSF4Z4F,failure,technical,168758.83,-97912.01,200,,2023-09-28 21:07:03.495691,yes,2023-09-28 21:07:03
3P53WA33GJ,failure,business,111092.07,111092.07,400,,2023-09-28 15:51:03.495708,no,2023-09-28 15:51:03
XEMJS4FMXB,failure,technical,944933.56,-502318.65,200,,2023-09-29 06:51:03.495733,yes,2023-09-29 06:51:03
Q8FIVJ6L6M,failure,technical,607358.14,607358.14,200,,2023-09-28 19:49:03.495751,no,2023-09-28 19:49:03
ANHWUTMJOQ,failure,business,292090.63,-65261.88,400,,2023-09-29 01:30:03.495766,yes,2023-09-29 01:30:03
I106K3ANW1,success,,107151.26,107151.26,00,Transaction Approved,2023-09-28 20:55:03.495782,no,2023-09-28 20:55:03
4H2R0C8OI0,failure,technical,16627.92,-13386.3,100,,2023-09-29 11:54:03.495797,yes,2023-09-29 11:54:03
5UBUB3IBXT,failure,business,387258.93,-261288.14,400,,2023-09-28 17:16:03.495813,yes,2023-09-28 17:16:03
RMM0M2FDMX,failure,business,113054.39,113054.39,400,,2023-09-28 20:30:03.495830,no,2023-09-28 20:30:03
S4FDM0BA89,success,,905839.2,-173903.04,00,Transaction Approved,2023-09-29 03:36:03.495845,yes,2023-09-29 03:36:03
5LM19R4HC0,success,,204804.56,-91348.6,00,Transaction Approved,2023-09-29 09:41:03.495861,yes,2023-09-29 09:41:03
U2QK6MRCQE,success,,156211.69,-118208.59,0,Transaction Approved,2023-09-29 08:01:03.495877,yes,2023-09-29 08:01:03
IULPHDQDRM,success,,633415.48,-417397.27,00,Transaction Approved,2023-09-29 04:36:03.495893,yes,2023-09-29 04:36:03
LB1AOQYBRQ,failure,business,974722.7,974722.7,400,,2023-09-28 22:56:03.495910,no,2023-09-28 22:56:03
RC6LRZNWR0,failure,technical,203340.83,-54329.79,300,,2023-09-29 01:51:03.495926,yes,2023-09-29 01:51:03
YSLK7QIM5I,success,,954369.59,954369.59,00,Transaction Approved,2023-09-28 14:05:03.495942,no,2023-09-28 14:05:03
07O6AOVB8W,success,,259664.85,-198833.33,000,Transaction Approved,2023-09-28 23:55:03.495956,yes,2023-09-28 23:55:03
ZT3DK62LEZ,failure,technical,326146.51,-214056.54,100,,2023-09-29 05:57:03.495995,yes,2023-09-29 05:57:03
MHD8IEJ694,success,,364940.7,-262439.93,000,Transaction Approved,2023-09-29 06:55:03.496021,yes,2023-09-29 06:55:03
6KKAI2SICA,failure,technical,237638.26,-150822.84,100,,2023-09-29 02:17:03.496044,yes,2023-09-29 02:17:03
15H0DR2XI2,failure,technical,493887.89,-419781.59,300,,2023-09-29 00:41:03.496061,yes,2023-09-29 00:41:03
ATPB3C4YYB,failure,business,862534.35,-252102.32,500,,2023-09-29 10:47:03.496078,yes,2023-09-29 10:47:03
M41OWOA9RV,success,,814292.95,-233819.07,00,Transaction Approved,2023-09-28 14:13:03.496098,yes,2023-09-28 14:13:03
Y17JDU5G3Z,failure,technical,885883.92,-491215.51,100,,2023-09-29 07:13:03.496115,yes,2023-09-29 07:13:03
MQOPG4QMNS,failure,technical,43434.03,43434.03,200,,2023-09-28 23:28:03.496133,no,2023-09-28 23:28:03
6VUQ44ZXZX,failure,business,281939.58,-214272.11,500,,2023-09-28 23:35:03.496149,yes,2023-09-28 23:35:03
PBC4SA6QKG,success,,462569.23,462569.23,00,Transaction Approved,2023-09-28 17:53:03.496166,no,2023-09-28 17:53:03
QHMLS12TED,success,,481424.51,481424.51,0,Transaction Approved,2023-09-28 16:59:03.496180,no,2023-09-28 16:59:03
XHIQGRAU16,failure,business,706184.71,-591591.78,600,,2023-09-28 18:46:03.496196,yes,2023-09-28 18:46:03
EO1S976OTN,failure,technical,177938.67,177938.67,100,,2023-09-28 19:09:03.496212,no,2023-09-28 19:09:03
1N0RR0LWRN,failure,technical,244362.3,244362.3,300,,2023-09-28 23:50:03.496229,no,2023-09-28 23:50:03
VWI1LBJDZS,failure,technical,959465.4,959465.4,200,,2023-09-28 19:21:03.496244,no,2023-09-28 19:21:03
750KBL3HUN,success,,512987.66,-92962.05,0,Transaction Approved,2023-09-29 06:21:03.496259,yes,2023-09-29 06:21:03
3132KYZ5J3,success,,746957.63,746957.63,0,Transaction Approved,2023-09-29 09:44:03.496276,no,2023-09-29 09:44:03
6D5PF7G6V1,failure,technical,43311.93,-12288.05,100,,2023-09-29 02:45:03.496291,yes,2023-09-29 02:45:03
3BE9T7CCLZ,success,,728434.85,-382814.34,000,Transaction Approved,2023-09-28 20:26:03.496307,yes,2023-09-28 20:26:03
JS0HLD1P6X,failure,business,320596.91,-95131.78,400,,2023-09-28 20:09:03.496324,yes,2023-09-28 20:09:03
MR6KIT5I4S,success,,143172.3,-105387.67,00,Transaction Approved,2023-09-29 09:39:03.496340,yes,2023-09-29 09:39:03
562CC7V5QO,failure,technical,830395.95,830395.95,100,,2023-09-28 22:33:03.496356,no,2023-09-28 22:33:03
P8KTVBHCIM,success,,454904.12,-191738.47,000,Transaction Approved,2023-09-29 05:26:03.496371,yes,2023-09-29 05:26:03
IDFWCV29S5,success,,306523.34,-114497.95,000,Transaction Approved,2023-09-29 08:54:03.496386,yes,2023-09-29 08:54:03
84TXDGCUAA,failure,business,47819.16,47819.16,600,,2023-09-28 22:45:03.496402,no,2023-09-28 22:45:03
MC345VK4YN,success,,973154.65,973154.65,000,Transaction Approved,2023-09-28 20:01:03.496416,no,2023-09-28 20:01:03
P3ASTGIC63,success,,676454.95,-79295.65,00,Transaction Approved,2023-09-29 05:29:03.496430,yes,2023-09-29 05:29:03
4RJOINBM65,success,,761139.66,-604268.71,000,Transaction Approved,2023-09-28 21:53:03.496445,yes,2023-09-28 21:53:03
T36XKRJEO0,success,,885517.61,885517.61,000,Transaction Approved,2023-09-28 18:21:03.496460,no,2023-09-28 18:21:03
4Y2RT69E5P,failure,business,859264.28,-675433.84,600,,2023-09-28 18:09:03.496476,yes,2023-09-28 18:09:03
RTNWYJP3KF,failure,business,185115.34,-35986.38,600,,2023-09-29 00:20:03.496492,yes,2023-09-29 00:20:03
BVNEKR0F5U,failure,business,345819.37,345819.37,600,,2023-09-29 03:48:03.496508,no,2023-09-29 03:48:03
8WKYPNTWXR,failure,business,330118.41,-169912.91,600,,2023-09-29 03:15:03.496524,yes,2023-09-29 03:15:03
97YSNYAXU5,failure,technical,950801.49,-695233.95,300,,2023-09-29 04:38:03.496540,yes,2023-09-29 04:38:03
1WONM4YB5A,success,,635978.01,635978.01,00,Transaction Approved,2023-09-28 17:25:03.496555,no,2023-09-28 17:25:03
CCBDJFKQXP,failure,business,503617.48,503617.48,600,,2023-09-29 06:00:03.496570,no,2023-09-29 06:00:03
XWXIUKZ7SA,failure,technical,393912.74,393912.74,200,,2023-09-28 19:20:03.496585,no,2023-09-28 19:20:03
RKEY9JN74Q,failure,technical,25828.65,-4793.41,100,,2023-09-28 19:35:03.496600,yes,2023-09-28 19:35:03
BO6B5SOKM7,success,,295322.81,295322.81,0,Transaction Approved,2023-09-28 20:47:03.496615,no,2023-09-28 20:47:03
HOJIJMN06O,failure,business,435837.53,435837.53,500,,2023-09-28 14:43:03.496631,no,2023-09-28 14:43:03
CKE88OBU9U,failure,technical,155420.16,155420.16,300,,2023-09-29 10:30:03.496645,no,2023-09-29 10:30:03
XHN09DH71L,success,,994129.84,-880211.5,00,Transaction Approved,2023-09-28 15:34:03.496660,yes,2023-09-28 15:34:03
59PN8VMMB3,success,,59408.1,59408.1,0,Transaction Approved,2023-09-29 07:23:03.496675,no,2023-09-29 07:23:03
EGXXFZ8K0Y,success,,426888.23,-354909.63,0,Transaction Approved,2023-09-28 19:03:03.496690,yes,2023-09-28 19:03:03
XQP3LPKVQS,failure,technical,609819.83,609819.83,200,,2023-09-28 14:25:03.496706,no,2023-09-28 14:25:03
E3CEQ30WRR,success,,989399.86,-235437.51,000,Transaction Approved,2023-09-29 02:38:03.496726,yes,2023-09-29 02:38:03
Z1GXP4N9V8,failure,business,148525.34,148525.34,500,,2023-09-29 09:20:03.496743,no,2023-09-29 09:20:03
709EI20EKJ,failure,business,958840.05,-452584.97,400,,2023-09-28 13:05:03.496763,yes,2023-09-28 13:05:03
AHOPTKONDC,failure,business,220370.91,220370.91,500,,2023-09-28 23:11:03.496780,no,2023-09-28 23:11:03
4D8I1Z37NW,success,,817680.91,-496384.11,000,Transaction Approved,2023-09-29 08:15:03.496794,yes,2023-09-29 08:15:03
VTJ0NA51I3,failure,technical,852660.0,852660.0,300,,2023-09-29 09:13:03.496811,no,2023-09-29 09:13:03
MFK5JJ40U7,success,,259402.75,259402.75,000,Transaction Approved,2023-09-28 20:31:03.496825,no,2023-09-28 20:31:03
2TCJ6MEF4B,success,,813819.52,813819.52,0,Transaction Approved,2023-09-28 22:24:03.496839,no,2023-09-28 22:24:03
JG5SQ8ULOY,success,,81986.95,-62617.54,00,Transaction Approved,2023-09-29 08:31:03.496854,yes,2023-09-29 08:31:03
KK3KGUGECP,failure,business,771380.55,771380.55,600,,2023-09-29 00:01:03.496870,no,2023-09-29 00:01:03
13P0CB4NLF,success,,986911.14,-833399.65,0,Transaction Approved,2023-09-29 10:33:03.496885,yes,2023-09-29 10:33:03
3DHWG77HIR,failure,technical,143497.39,-85871.84,200,,2023-09-28 22:59:03.496902,yes,2023-09-28 22:59:03
GD4V2676JO,failure,business,882157.25,882157.25,400,,2023-09-29 09:37:03.496919,no,2023-09-29 09:37:03
5BDPNCO3QU,failure,technical,116430.18,116430.18,200,,2023-09-29 10:45:03.496935,no,2023-09-29 10:45:03
R1I6SRQNM6,success,,112758.81,-48973.09,0,Transaction Approved,2023-09-28 14:49:03.496949,yes,2023-09-28 14:49:03
PE98QT55MV,success,,656335.74,656335.74,0,Transaction Approved,2023-09-29 01:04:03.496972,no,2023-09-29 01:04:03
T0GNLTFSP1,failure,technical,471362.28,-414993.32,100,,2023-09-29 06:57:03.496989,yes,2023-09-29 06:57:03
OPJTHB9UTP,failure,technical,268096.02,268096.02,100,,2023-09-28 21:44:03.497005,no,2023-09-28 21:44:03
467Q1HSEL4,success,,824143.95,-419000.12,00,Transaction Approved,2023-09-29 01:36:03.497021,yes,2023-09-29 01:36:03
INS7S6GNN5,failure,technical,420978.47,-354372.99,300,,2023-09-29 03:35:03.497037,yes,2023-09-29 03:35:03
JRDLV5RRV9,success,,868489.87,868489.87,00,Transaction Approved,2023-09-29 04:10:03.497053,no,2023-09-29 04:10:03
CYI3SB9VMP,success,,228135.0,228135.0,000,Transaction Approved,2023-09-28 18:07:03.497067,no,2023-09-28 18:07:03
AJMQJLBSWQ,success,,511035.98,511035.98,0,Transaction Approved,2023-09-28 21:25:03.497082,no,2023-09-28 21:25:03
8QMQW3QKJ0,failure,technical,184403.92,184403.92,300,,2023-09-28 21:03:03.497097,no,2023-09-28 21:03:03
RK8KFPR6QY,failure,business,468855.63,468855.63,500,,2023-09-28 14:38:03.497113,no,2023-09-28 14:38:03
L0QDKWOWVY,success,,212374.05,-164288.78,000,Transaction Approved,2023-09-28 16:08:03.497131,yes,2023-09-28 16:08:03
65UM0UGALI,success,,44154.06,44154.06,000,Transaction Approved,2023-09-28 12:56:03.497147,no,2023-09-28 12:56:03
I59BLC7HV1,failure,business,192495.42,192495.42,600,,2023-09-28 16:04:03.497162,no,2023-09-28 16:04:03
UXI90W4G5G,failure,technical,186097.22,-32175.98,300,,2023-09-29 05:15:03.497177,yes,2023-09-29 05:15:03
N3R7EJIASM,failure,business,11826.53,-3913.75,400,,2023-09-29 02:17:03.497194,yes,2023-09-29 02:17:03
YKN511B4TH,failure,business,185191.83,-53054.34,400,,2023-09-28 15:21:03.497210,yes,2023-09-28 15:21:03
JI9G4DBAFY,failure,technical,306978.36,-239012.1,100,,2023-09-28 22:50:03.497227,yes,2023-09-28 22:50:03
DHKJ4H4JRS,failure,business,396463.4,396463.4,600,,2023-09-28 18:34:03.497242,no,2023-09-28 18:34:03
MB0E8PI17P,failure,business,605888.94,605888.94,400,,2023-09-28 21:36:03.497257,no,2023-09-28 21:36:03
G3RW7CWT3Y,failure,business,551385.59,-340824.78,600,,2023-09-28 20:07:03.497273,yes,2023-09-28 20:07:03
G4G9YHQPIQ,success,,958638.86,-677279.42,000,Transaction Approved,2023-09-29 03:54:03.497289,yes,2023-09-29 03:54:03
DLKE2Y8DNY,failure,business,4709.31,4709.31,600,,2023-09-29 00:01:03.497305,no,2023-09-29 00:01:03
P1F2FVIXBB,success,,776464.05,776464.05,0,Transaction Approved,2023-09-29 12:26:03.497319,no,2023-09-29 12:26:03
6Y9XHGC1BI,success,,648947.69,648947.69,000,Transaction Approved,2023-09-29 12:14:03.497334,no,2023-09-29 12:14:03
VA1ZNS6BG4,success,,380292.45,-182842.37,0,Transaction Approved,2023-09-29 03:24:03.497348,yes,2023-09-29 03:24:03
59LDGQI7DV,success,,782851.31,-622657.33,000,Transaction Approved,2023-09-28 23:25:03.497363,yes,2023-09-28 23:25:03
6V90PA0J5F,failure,technical,356331.87,-319481.01,100,,2023-09-28 22:51:03.497380,yes,2023-09-28 22:51:03
6DTUOXYGC7,success,,101383.23,101383.23,00,Transaction Approved,2023-09-29 06:47:03.497396,no,2023-09-29 06:47:03
0O0LA0067S,success,,406814.46,-345853.5,000,Transaction Approved,2023-09-29 11:34:03.497410,yes,2023-09-29 11:34:03
R8SR016CEO,failure,business,669507.87,669507.87,600,,2023-09-28 13:23:03.497451,no,2023-09-28 13:23:03
K8XPRQKEFB,success,,656863.94,-562776.81,0,Transaction Approved,2023-09-28 19:18:03.497466,yes,2023-09-28 19:18:03
3FU7VD7SPL,failure,technical,516272.79,-231924.56,200,,2023-09-29 10:59:03.497483,yes,2023-09-29 10:59:03
