Session Key,Result,Decline Type,Original Transaction Amount,Transaction Amount,Status Code,Response Message,Transaction Time,Transaction Reversal,Date and Time
671a2944-da57-459a-8953-299cee9903f8,Success,,253.6,253.6,200,Success,2023-10-05 01:33:19,No,2023-10-05 01:28:43
6a70670d-afe4-4b88-be91-64a5f4bad7ad,Success,,747.08,747.08,200,Success,2023-10-02 11:09:47,Yes,2023-10-02 11:07:49
6828cbbc-acb7-45b9-b0f6-9f2d0d12bc58,Success,,365.38,365.38,200,Success,2023-10-02 21:31:15,Yes,2023-10-02 21:26:21
a0d0b7e5-b276-4773-8f42-54d28cfd9d0f,Failure,Business,989.92,989.92,507,Business Error: Transaction Rejected,2023-10-06 15:29:29,No,2023-10-06 15:27:02
10dd80c8-5207-4014-a413-da444929916a,Success,,249.63,249.63,200,Success,2023-10-01 19:21:43,No,2023-10-01 19:18:39
c1912a79-dbd5-41fe-91c3-0f495d799142,Success,,437.98,437.98,200,Success,2023-10-02 09:18:24,Yes,2023-10-02 09:16:04
4814691a-4c13-4ec6-b790-779343708b24,Success,,939.34,939.34,200,Success,2023-10-06 20:55:50,Yes,2023-10-06 20:51:18
ffdb37b4-93a0-4e71-be9d-c9fa8aabaeb1,Failure,Business,530.25,530.25,539,Business Error: Transaction Canceled,2023-10-05 19:51:45,No,2023-10-05 19:42:27
a57b0267-c566-4800-98cd-e1cf3bec714e,Success,,408.37,408.37,200,Success,2023-10-01 18:53:53,Yes,2023-10-01 18:44:33
70b335c1-e2f7-4634-8621-339b27c73dd5,Success,,306.69,306.69,200,Success,2023-10-04 07:05:43,No,2023-10-04 07:04:04
053c9b1e-6c8a-415f-8e41-a7ec9742ba53,Success,,593.18,593.18,200,Success,2023-10-06 06:06:42,No,2023-10-06 06:02:17
bcad0812-9df0-4f00-b6b3-dd7631c0b4c5,Success,,108.44,108.44,200,Success,2023-10-04 21:48:49,No,2023-10-04 21:45:12
81a276e1-9bea-4fc9-bca7-b7b95e4857c2,Success,,328.75,328.75,200,Success,2023-10-01 08:41:45,No,2023-10-01 08:39:57
826acd06-ed02-4623-8372-f961f04eae1a,Failure,Business,732.84,732.84,564,Business Error: Bank Account Suspended,2023-10-01 06:23:41,No,2023-10-01 06:15:39
a48474b3-21ca-47d5-a4e0-5366fefa89bb,Failure,Technical,804.03,804.03,498,Technical Error: Declined by Issuer,2023-10-01 20:29:07,No,2023-10-01 20:20:19
f68bd420-8efc-4515-82a8-8c1b9d136ea9,Success,,663.7,663.7,200,Success,2023-10-04 00:10:39,No,2023-10-04 00:02:42
68d82bb6-52df-4af8-93b7-fad0965484fa,Success,,968.05,968.05,200,Success,2023-10-01 17:48:02,Yes,2023-10-01 17:40:49
b950844f-6d19-4018-b8b9-a0c5b1bfa708,Failure,Technical,467.5,467.5,586,Technical Error: Card Expired,2023-10-04 16:49:44,No,2023-10-04 16:44:11
cbbec7ab-df87-4bc1-8ddc-6bbe19736f11,Success,,867.07,867.07,200,Success,2023-10-04 04:59:39,Yes,2023-10-04 04:51:13
ef16e78b-60db-427a-ab02-1e25a565b424,Success,,437.42,437.42,200,Success,2023-10-03 01:58:21,No,2023-10-03 01:56:51
4ff5cd53-cbab-4e08-b540-166563245e2a,Success,,270.05,270.05,200,Success,2023-10-05 08:45:48,No,2023-10-05 08:44:38
49e2f5d8-0b60-450a-be3e-2579947f71b9,Failure,Business,617.31,617.31,457,Business Error: Transaction Amount Exceeds Limit,2023-10-01 05:27:08,No,2023-10-01 05:24:05
5686d201-df9d-4320-ba03-c61667893641,Failure,Business,164.54,164.54,503,Business Error: Payment Not Authorized,2023-10-05 15:46:12,No,2023-10-05 15:44:56
af511f16-4ca9-4f08-b004-415132af2fc3,Success,,906.81,906.81,200,Success,2023-10-05 15:49:47,Yes,2023-10-05 15:41:59
63f87476-dad7-455c-90a3-160ab6373808,Success,,552.74,552.74,200,Success,2023-10-05 18:16:49,No,2023-10-05 18:10:12
41f0d111-8698-48e2-840b-3555a1a445de,Failure,Business,51.02,51.02,415,Business Error: Transaction ID Not Found,2023-10-03 13:38:21,No,2023-10-03 13:32:07
f455713f-af6b-4e29-84d4-426726396d18,Success,,198.11,198.11,200,Success,2023-10-07 07:51:40,Yes,2023-10-07 07:42:22
df52f775-d69e-43ec-be9d-e3c14d0e2ec0,Success,,561.77,561.77,200,Success,2023-10-03 21:22:10,No,2023-10-03 21:20:58
5bf6a266-4631-40f5-8aa0-666d622eaa04,Failure,Technical,932.86,932.86,584,Technical Error: Invalid Billing Address,2023-10-01 16:07:51,No,2023-10-01 16:06:39
91a7971d-f80e-419e-a4ce-c92fd1e197b6,Success,,402.0,402.0,200,Success,2023-10-01 08:31:16,Yes,2023-10-01 08:25:34
79ea6d08-f70a-4a49-b7d0-4fd16a56fcb4,Failure,Technical,589.37,589.37,599,Technical Error: System Maintenance,2023-10-04 18:05:17,No,2023-10-04 17:57:27
cd11faae-893a-4bcc-9907-305d2e9f721e,Success,,66.11,66.11,200,Success,2023-10-05 09:02:01,Yes,2023-10-05 08:59:36
40cd193a-e8d0-4f55-b0fc-e99d67a08d88,Success,,40.31,40.31,200,Success,2023-10-03 20:34:16,No,2023-10-03 20:31:40
10e6df5d-863d-483f-88ef-c42fa39149e5,Failure,Business,235.38,235.38,568,Business Error: Merchant Suspended,2023-10-04 08:49:24,No,2023-10-04 08:46:37
0ab9b773-a147-4324-aa6a-87d8220e0c1a,Success,,204.6,204.6,200,Success,2023-10-03 06:05:30,No,2023-10-03 05:58:40
2078b496-6af8-4b18-a963-4bfb1a75738c,Success,,494.21,494.21,200,Success,2023-10-01 02:34:29,Yes,2023-10-01 02:30:08
0e88c8a2-2926-4164-ac8f-e06dc073dab8,Failure,Business,600.13,600.13,415,Business Error: Invalid Transaction Type,2023-10-05 20:56:57,No,2023-10-05 20:53:56
c4cf6be3-29d5-4891-b010-cb111384d8c4,Failure,Business,455.48,455.48,520,Business Error: Insufficient Balance in Receiver Account,2023-10-07 17:09:31,No,2023-10-07 17:03:44
ee7b5179-255e-40ce-b6a8-226955cee63e,Failure,Technical,700.26,700.26,564,Technical Error: Network Error,2023-10-07 20:37:36,No,2023-10-07 20:30:55
29dbad40-b5d4-4da0-bb92-73fb49a9d8b4,Failure,Technical,507.98,507.98,507,Technical Error: Invalid Account Number,2023-10-06 00:26:02,No,2023-10-06 00:18:55
6b3baf6e-6c42-45a0-abe9-0e96f297ae9c,Failure,Business,611.5,611.5,434,Business Error: Transaction Error,2023-10-04 06:51:11,No,2023-10-04 06:50:32
e159873b-4825-4b97-b1ed-903958ac2070,Success,,5.99,5.99,200,Success,2023-10-03 21:20:39,Yes,2023-10-03 21:14:55
0f2abcad-85ea-45a2-9872-22a4686e8d19,Success,,988.96,988.96,200,Success,2023-10-01 22:47:38,No,2023-10-01 22:41:22
123443aa-33e9-4e43-b972-162ad9a73843,Failure,Technical,516.19,516.19,585,Technical Error: Card Expired,2023-10-02 00:06:09,No,2023-10-01 23:57:18
564f6561-7821-4b61-80ac-00230d5b9b95,Failure,Technical,257.41,257.41,425,Technical Error: Invalid Billing Address,2023-10-05 18:57:29,No,2023-10-05 18:55:53
8ae473bb-801b-46b6-b78e-3154de066a15,Success,,468.82,468.82,200,Success,2023-10-03 07:12:56,Yes,2023-10-03 07:12:20
5110a2fb-34b7-4f23-9750-3ddc903ab217,Success,,855.75,855.75,200,Success,2023-10-06 10:06:55,No,2023-10-06 10:01:44
a7553fb3-5df6-4a20-b4dc-6f4684d774ac,Failure,Technical,296.88,296.88,406,Technical Error: Invalid Billing Address,2023-10-05 03:37:00,No,2023-10-05 03:34:33
