Session Key,Result,Decline Type,Original Transaction Amount,Transaction Amount,Status Code,Response Message,Transaction Time,Transaction Reversal,Date and Time,Day of the Week
ZQHXXSG7FE,success,,939353.17,-427426.38,000,Transaction Approved,2023-09-01 00:44:00,yes,2023-09-01 00:44:00,Friday
56MW4WUEVH,success,,393048.88,-182574.16,0,Transaction Approved,2023-09-01 17:09:00,yes,2023-09-01 17:09:00,Friday
P6ZIYV0ECL,success,,650706.08,650706.08,000,Transaction Approved,2023-09-01 14:58:00,no,2023-09-01 14:58:00,Friday
KRKV7MHROB,failure,technical,369688.23,-288602.4,100,,2023-09-01 15:42:00,yes,2023-09-01 15:42:00,Friday
D09CTFCNO9,success,,500931.71,-126678.2,0,Transaction Approved,2023-09-01 14:05:00,yes,2023-09-01 14:05:00,Friday
GI4EW0CMRC,failure,business,955421.3,-619147.73,500,,2023-09-01 02:23:00,yes,2023-09-01 02:23:00,Friday
Q2HVODH2Z5,success,,624246.49,624246.49,00,Transaction Approved,2023-09-01 02:26:00,no,2023-09-01 02:26:00,Friday
GZP71OWHOC,success,,881548.63,-121355.34,000,Transaction Approved,2023-09-01 02:19:00,yes,2023-09-01 02:19:00,Friday
Y0740FMWWJ,success,,62454.74,-8156.79,0,Transaction Approved,2023-09-01 12:09:00,yes,2023-09-01 12:09:00,Friday
6Y9JXZ30BJ,success,,848782.26,848782.26,0,Transaction Approved,2023-09-01 09:17:00,no,2023-09-01 09:17:00,Friday
HDJKIFPDJF,success,,978318.44,978318.44,0,Transaction Approved,2023-09-01 23:04:00,no,2023-09-01 23:04:00,Friday
FNHT6L1QQZ,success,,749366.11,749366.11,000,Transaction Approved,2023-09-01 17:09:00,no,2023-09-01 17:09:00,Friday
H9IKTSB7QQ,failure,business,812644.06,-136160.02,400,,2023-09-01 13:21:00,yes,2023-09-01 13:21:00,Friday
6EWUJCO6BK,success,,68937.57,68937.57,00,Transaction Approved,2023-09-01 14:28:00,no,2023-09-01 14:28:00,Friday
